enrollmentid,personid,calendarid,grade,startdate,enddate,schoolid,calendar_startdate,calendar_enddate,endyear,zip,schoolname,city_x,startyear,label,active,final_enddate,city_y
143127,154030,423,04,2020-09-02,2021-06-25,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143130,154038,423,02,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143134,154047,423,01,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143137,154058,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143140,154059,423,KG,2020-09-01,2021-06-25,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143503,154062,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143500,154063,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143502,154064,423,02,2020-09-02,2021-06-25,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143138,154066,423,KG,2020-09-01,2021-01-06,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-01-06,Brooklyn
143141,154073,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143142,154077,423,04,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143144,154079,423,02,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143145,154083,423,KG,2020-09-01,2021-02-03,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-02-03,Brooklyn
143147,154084,423,03,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143148,154085,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143149,154086,423,02,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143150,154087,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143153,154089,423,01,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143152,154090,423,04,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143154,154091,423,01,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143155,154094,423,01,2020-09-02,2021-06-25,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143156,154096,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143157,154097,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143159,154098,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143160,154100,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143182,154169,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143183,154170,423,04,2020-09-02,2021-06-25,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143186,154172,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143187,154173,423,02,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143188,154174,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143190,154175,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143191,154176,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143192,154178,423,02,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143193,154179,423,01,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143194,154180,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143195,154182,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143200,154185,423,KG,2020-09-01,2021-06-25,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143203,154191,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143204,154193,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143205,154194,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143206,154195,423,KG,2020-09-01,2021-06-25,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143207,154196,423,KG,2020-09-01,2021-06-25,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143209,154198,423,KG,2020-09-01,2021-06-25,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
